,CrashId,Fatal Case Status,lat,lon,DOT Case Number,Date Of Crash,Time of Crash,Crash Severity,Crash Severity Text Format,Most Severe Injury,Most Severe Injury Text Format,Number Of Motor Vehicles,Route Class Text Format,Milemarker,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,Distance From Nearest Landmark,Unit Of Measure From Nearest Landmark,Direction From Nearest Landmark,Weather Condition,Weather Condition Text Format,Light Condition,Light Condition Text Format,Road Surface Condition,Road Surface Condition Text Format,Average Daily Traffic,Trafficway Class Text Format,full_date
8072,497306,1,41.343683,-72.926396,3015763,12/25/18,21:23:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.74,439,PUTNAM AV,PUTNAM AV,LEEDER HILL DR,,,,,1,Clear,4,Dark-Lighted,1,Dry,10000,"Trafficway, On Road",12/25/18 21:23
6009,496852,1,41.354464,-72.944974,3015309,12/26/18,6:32:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.22,63,BROOK ST,BROOK ST,,Wintergreen Avenue,93,Feet,S,1,Clear,5,Dark-Not Lighted,1,Dry,3100,Non-trafficway,12/26/18 6:32
7195,500489,1,41.400308,-72.939883,3018945,12/26/18,17:23:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,Local,1.32,261,HILL ST,HILL ST,,West Shepard Av,25,Feet,S,1,Clear,4,Dark-Lighted,1,Dry,,"Trafficway, On Road",12/26/18 17:23
1911,498939,1,41.424334,-72.905782,3017395,12/26/18,23:27:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,11.73,10,CT-10,10-N,TODD ST,,,,,1,Clear,4,Dark-Lighted,1,Dry,19100,"Trafficway, On Road",12/26/18 23:27
5852,498146,1,41.364563,-72.929293,3016602,12/27/18,14:42:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.3,42,BENHAM ST,BENHAM ST,MIX AV,,,,,1,Clear,1,Daylight,1,Dry,12600,"Trafficway, On Road",12/27/18 14:42
3867,502303,1,41.378119,-72.905339,3020759,12/27/18,18:46:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.46,15,15-S,15-S,,EXIT 61,100,Feet,S,1,Clear,5,Dark-Not Lighted,1,Dry,71800,"Trafficway, On Road",12/27/18 18:46
3868,502304,1,41.378119,-72.905339,3020760,12/27/18,20:28:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,51.46,15,15-S,15-S,,EXIT 54,1,TenthsofMile,S,1,Clear,4,Dark-Lighted,1,Dry,71800,"Trafficway, On Road",12/27/18 20:28
6989,499708,1,41.349449,-72.940047,3018164,12/27/18,20:40:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.21,226,GORHAM AV,GORHAM AV,LANGER ST,,,,,1,Clear,4,Dark-Lighted,1,Dry,1600,"Trafficway, On Road",12/27/18 20:40
4345,502305,1,41.378094,-72.905318,3020761,12/28/18,9:22:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.18,15,15-S,15-S-122,,15-S,20,Feet,W,4,Rain,1,Daylight,2,Wet,9300,"Trafficway, On Road",12/28/18 9:22
3950,502306,1,41.381783,-72.899201,3020762,12/28/18,12:52:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.91,15,15-S,15-S,,EXIT 62,500,Feet,N,4,Rain,1,Daylight,2,Wet,68700,"Trafficway, On Road",12/28/18 12:52
3316,502307,1,41.365549,-72.925515,3020763,12/28/18,13:30:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,50.02,15,15-N,15-N,,EXIT 60,100,Feet,N,4,Rain,1,Daylight,2,Wet,66000,"Trafficway, On Road",12/28/18 13:30
7666,498941,1,41.403532,-72.89564,3017397,12/28/18,13:52:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0,382,NEW RD,NEW RD,,,,,,2,Cloudy,1,Daylight,1,Dry,,"Trafficway, On Road",12/28/18 13:52
9289,500752,1,41.345514,-72.939536,3019208,12/29/18,12:04:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,1.43,598,WOODIN ST,WOODIN ST,BEAVER ST,,,,W,1,Clear,1,Daylight,1,Dry,5400,"Trafficway, On Road",12/29/18 12:04
4347,505255,1,41.378069,-72.905353,3023709,12/29/18,12:19:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.18,15,15-S,15-S-122,,Route 15,10,Feet,N,1,Clear,1,Daylight,1,Dry,9300,"Trafficway, On Road",12/29/18 12:19
6802,500691,1,41.362964,-72.928315,3019147,12/29/18,14:32:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0,206,GARFIELD ST,GARFIELD ST,ROOSEVELT ST,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",12/29/18 14:32
9089,505527,1,41.432907,-72.927732,3023981,12/29/18,14:54:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.76,573,WEST TODD ST,WEST TODD ST,STILL HILL RD,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",12/29/18 14:54
2460,499053,1,41.374484,-72.915843,3017509,12/29/18,16:51:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,Local,0,144,CT-10,DIXWELL AV NO 2 RT 10 NB,SKIFF ST,,,,,1,Clear,4,Dark-Lighted,1,Dry,12700,"Trafficway, On Road",12/29/18 16:51
8591,502818,1,41.395338,-72.920153,3021274,12/29/18,21:50:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.36,491,SHERMAN AV,SHERMAN AV NO 1,,Rossotto Dr,300,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,5600,"Trafficway, Not on Road",12/29/18 21:50
4744,498112,1,41.334657,-72.900512,3016569,12/30/18,17:48:00,O,Property Damage Only,O,No Apparent Injury (O),2,USRoute,1.5,5,US-5,5-N,,MERRITT STREET ,10,Feet,S,1,Clear,4,Dark-Lighted,1,Dry,14100,"Trafficway, On Road",12/30/18 17:48
2207,499071,1,41.391928,-72.897871,3017527,12/31/18,9:59:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),1,State,9.43,10,CT-10,10-N,ELM ST,,,,,99,Unknown,99,Unknown,1,Dry,16900,"Trafficway, Not on Road",12/31/18 9:59
1986,500406,1,41.382988,-72.907778,3018862,12/31/18,14:08:00,A,"Injury of any type (Serious, Minor, Possible)",A,Suspected Serious Injury (A),2,State,8.49,10,CT-10,10-N,EVERGREEN AV,,,,,2,Cloudy,1,Daylight,1,Dry,18400,"Trafficway, On Road",12/31/18 14:08
8772,501449,1,41.375108,-72.917059,3019905,12/31/18,15:51:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.08,495,SKIFF ST EXT,SKIFF ST EXT,,Dixwell Avenue ,50,Feet,W,1,Clear,1,Daylight,1,Dry,9400,"Trafficway, On Road",12/31/18 15:51
8970,504972,1,41.3555,-72.9108,3023426,12/31/18,17:27:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.59,548,WAITE ST,WAITE ST,FORD ST,,,,,4,Rain,4,Dark-Lighted,2,Wet,2600,"Trafficway, On Road",12/31/18 17:27
508,499054,1,41.356773,-72.927581,3017510,12/31/18,17:30:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,6.35,10,CT-10,10-N,,HOMESTEAD AVE,20,Feet,N,4,Rain,4,Dark-Lighted,2,Wet,27500,"Trafficway, On Road",12/31/18 17:30
848,499072,1,41.34836,-72.932815,3017528,12/31/18,17:48:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.71,10,CT-10,10-N,SCOTT ST,,,,,4,Rain,4,Dark-Lighted,2,Wet,25300,"Trafficway, On Road",12/31/18 17:48
850,510278,1,41.3478808,-72.9331084,3028731,12/31/18,18:11:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.67,10,CT-10,10-N,,Circular,100,Feet,N,4,Rain,4,Dark-Lighted,2,Wet,25300,"Trafficway, On Road",12/31/18 18:11
8021,499073,1,41.343659,-72.926375,3017529,1/1/19,1:41:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),3,Local,0.74,439,PUTNAM AV,PUTNAM AV,LEEDER HILL DR,,,,,4,Rain,4,Dark-Lighted,2,Wet,10200,"Trafficway, On Road",1/1/19 1:41
1181,635767,1,41.344538,-72.93434,919002,1/1/19,2:18:00,K,Fatal (Kill),K,Fatal Injury (K),3,State,5.42,10,CT-10,10-N,,WOODIN ST,30,Feet,N,4,Rain,4,Dark-Lighted,2,Wet,24000,"Trafficway, On Road",1/1/19 2:18
576,502819,1,41.34636,-72.933911,3021275,1/1/19,3:19:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.56,10,CT-10,10-N,PUTNAM AV,,,,,4,Rain,4,Dark-Lighted,2,Wet,26600,"Trafficway, On Road",1/1/19 3:19
4234,503131,1,41.36619839,-72.92361542,3021585,1/1/19,11:25:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,0.05,15,15-S,15-S-119,,Entrance ramp #61,1,TenthsofMile,S,1,Clear,1,Daylight,1,Dry,9500,"Trafficway, On Road",1/1/19 11:25
2250,500692,1,41.387247,-72.900581,3019148,1/1/19,12:09:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,9.08,10,CT-10,10-N,,Lincoln Street,395,Feet,S,1,Clear,1,Daylight,1,Dry,16800,"Trafficway, On Road",1/1/19 12:09
9133,552049,1,41.421382,-72.94583,3070484,1/1/19,15:25:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.38,655,WEST WOODS RD,WEST WOODS RD NO 2,,Talmadge Rd,1000,Feet,S,1,Clear,1,Daylight,1,Dry,1700,"Trafficway, On Road",1/1/19 15:25
9004,499074,1,41.344151,-72.937476,3017530,1/2/19,2:57:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.16,553,WARREN ST,WARREN ST,,Third Street,75,Feet,N,1,Clear,5,Dark-Not Lighted,1,Dry,,"Trafficway, On Road",1/2/19 2:57
7046,500753,1,41.38952,-72.912066,3019209,1/2/19,7:04:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.19,713,HAMDEN HILLS DR,HAMDEN HILLS DR,,TOWN WALK DR,100,Feet,E,1,Clear,1,Daylight,1,Dry,8500,"Trafficway, On Road",1/2/19 7:04
8564,499075,1,41.391509,-72.92069,3017531,1/2/19,8:37:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.1,491,SHERMAN AV,SHERMAN AV NO 1,SHERMAN LA,,,,,1,Clear,1,Daylight,1,Dry,5700,"Trafficway, On Road",1/2/19 8:37
2477,514964,1,41.338357,-72.940768,3033415,1/2/19,17:13:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,4.72,10,CT-10,10-N,,Fairview St,10,Feet,E,1,Clear,1,Daylight,1,Dry,12400,"Trafficway, On Road",1/2/19 17:13
4246,500284,1,41.378072,-72.905347,3018740,1/2/19,17:22:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,0.18,15,15-S,15-S-122,,Stop Sign ,5,Feet,S,1,Clear,5,Dark-Not Lighted,1,Dry,9500,"Trafficway, On Road",1/2/19 17:22
1998,499076,1,41.382897,-72.907854,3017532,1/2/19,18:17:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,8.49,10,CT-10,10-N,EVERGREEN AV,,,,,1,Clear,4,Dark-Lighted,1,Dry,18300,"Trafficway, On Road",1/2/19 18:17
6886,499077,1,41.335295,-72.929737,3017533,1/2/19,19:37:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.51,222,GOODRICH ST,GOODRICH ST,,Butler Street,187,Feet,W,1,Clear,4,Dark-Lighted,1,Dry,3200,"Trafficway, On Road",1/2/19 19:37
7140,500407,1,41.349535,-72.943282,3018863,1/3/19,8:05:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.51,251,HELEN ST,HELEN ST,ELMER AV,,,,,1,Clear,1,Daylight,1,Dry,3000,"Trafficway, On Road",1/3/19 8:05
5625,502820,1,41.374398,-72.916013,3021276,1/3/19,11:42:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.17,753,CT-10,753-S,SKIFF ST,,,,,1,Clear,1,Daylight,1,Dry,13900,"Trafficway, On Road",1/3/19 11:42
4228,500754,1,41.366149,-72.921551,3019210,1/3/19,13:16:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0,15,15-S,15-S-118,10-N,,,,,1,Clear,1,Daylight,1,Dry,9500,"Trafficway, On Road",1/3/19 13:16
5952,499709,1,41.33569,-72.937879,3018165,1/3/19,15:01:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.01,52,BOWEN ST,BOWEN ST,CHERRY ANN ST,,,,,1,Clear,1,Daylight,1,Dry,5000,"Trafficway, On Road",1/3/19 15:01
7782,501658,1,41.364175,-72.925192,3020114,1/3/19,15:32:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.1,410,PALMER AV,PALMER AV,,Hope Av,200,Feet,W,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",1/3/19 15:32
889,499710,1,41.406123,-72.899247,3018166,1/3/19,15:35:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,10.44,10,CT-10,10-N,,Home Pl,200,Feet,S,1,Clear,1,Daylight,1,Dry,25200,"Trafficway, On Road",1/3/19 15:35
8022,500755,1,41.344987,-72.918732,3019211,1/3/19,15:48:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.33,439,PUTNAM AV,PUTNAM AV,,TURNER STREET,115,Feet,E,1,Clear,1,Daylight,1,Dry,10200,"Trafficway, On Road",1/3/19 15:48
4597,500756,1,41.401713,-72.897856,3019212,1/3/19,21:52:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,3.08,40,40-N,40-N,10-N,,,,,1,Clear,4,Dark-Lighted,1,Dry,18800,"Trafficway, On Road",1/3/19 21:52
8003,500720,1,41.345281,-72.932046,3019176,1/4/19,12:03:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,Local,1.06,439,PUTNAM AV,PUTNAM AV,,Leeder Hill Drive,50,Feet,W,1,Clear,1,Daylight,1,Dry,11600,"Trafficway, On Road",1/4/19 12:03
1255,501659,1,41.373114,-72.91672,3020115,1/4/19,17:50:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,7.61,10,CT-10,10-N,,Skiff St,1,TenthsofMile,S,1,Clear,4,Dark-Lighted,1,Dry,23600,"Trafficway, On Road",1/4/19 17:50
138,505407,1,41.366101,-72.921568,3023861,1/5/19,14:38:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,7.05,10,CT-10,10-N,,Marietta,225,Feet,S,4,Rain,1,Daylight,2,Wet,34000,"Trafficway, On Road",1/5/19 14:38
5987,505408,1,41.349427,-72.937179,3023862,1/6/19,7:11:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.29,54,BRADLEY AV,BRADLEY AV,,Duane Rd.,150,Feet,W,1,Clear,99,Unknown,1,Dry,,"Trafficway, On Road",1/6/19 7:11
7192,500721,1,41.370953,-72.922521,3019177,1/6/19,7:13:00,O,Property Damage Only,O,No Apparent Injury (O),2,,,,HIGHVIEW TER,HIGHVIEW TER,,,,,,1,Clear,99,Unknown,1,Dry,,"Trafficway, On Road",1/6/19 7:13
3295,637156,1,41.382657,-72.897653,3155575,1/6/19,8:16:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,51.97,15,15-N,15-N,,#61,2,Feet,N,1,Clear,1,Daylight,1,Dry,67600,"Trafficway, On Road",1/6/19 8:16
3498,500557,1,41.380741,-72.900748,3019013,1/6/19,15:20:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.23,15,15-N,15-N-125,,Stop sign,5,Feet,N,1,Clear,1,Daylight,1,Dry,2300,"Trafficway, On Road",1/6/19 15:20
6652,501660,1,41.346617,-72.940363,3020116,1/6/19,16:43:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.59,176,FAIRVIEW AV,FAIRVIEW AV,,Woodin Street,300,Feet,N,2,Cloudy,1,Daylight,1,Dry,4900,"Trafficway, On Road",1/6/19 16:43
8023,501135,1,41.343674,-72.926361,3019591,1/6/19,17:44:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,Local,0.74,439,PUTNAM AV,PUTNAM AV,,Leeder Hill Dr,25,Feet,W,1,Clear,1,Daylight,1,Dry,10200,"Trafficway, On Road",1/6/19 17:44
5785,501203,1,41.362927,-72.924304,3019659,1/7/19,8:59:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.02,42,BENHAM ST,BENHAM ST,,DIXWELL AVE,50,Feet,W,1,Clear,1,Daylight,1,Dry,12800,"Trafficway, On Road",1/7/19 8:59
4656,500758,1,41.328314,-72.897888,3019214,1/8/19,7:39:00,O,Property Damage Only,O,No Apparent Injury (O),2,USRoute,1.02,5,US-5,5-N,,Park Road,550,Feet,S,2,Cloudy,1,Daylight,2,Wet,17900,"Trafficway, On Road",1/8/19 7:39
7034,501661,1,41.341029,-72.914623,3020117,1/8/19,8:22:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.05,234,HALL ST,HALL ST,,Blake Road,1,TenthsofMile,N,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",1/8/19 8:22
4529,502838,1,41.403496,-72.895602,3021294,1/8/19,12:06:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.14,22,CT-22,22-E,NEW RD,,,,,6,Freezing Rain or Freezing Drizzle,1,Daylight,2,Wet,5600,"Trafficway, On Road",1/8/19 12:06
2474,501662,1,41.338304,-72.940882,3020118,1/8/19,12:56:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,4.71,10,CT-10,10-N,,FITCH STREET,50,Feet,E,1,Clear,1,Daylight,1,Dry,12400,"Trafficway, On Road",1/8/19 12:56
3653,502706,1,41.349481,-72.965343,3021162,1/8/19,16:05:00,O,Property Damage Only,O,No Apparent Injury (O),1,State,47.63,15,15-S,15-S,,Tunnel,5,TenthsofMile,N,6,Freezing Rain or Freezing Drizzle,97,Other,2,Wet,78600,"Trafficway, On Road",1/8/19 16:05
8771,501204,1,41.37632,-72.91986,3019660,1/8/19,16:07:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.26,495,SKIFF ST EXT,SKIFF ST EXT,MIX AV,,,,,2,Cloudy,1,Daylight,2,Wet,9400,"Trafficway, On Road",1/8/19 16:07
2076,501451,1,41.435,-72.90843,3019907,1/8/19,17:08:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,12.48,10,CT-10,10-N,,Shepard Av,660,Feet,S,4,Rain,4,Dark-Lighted,2,Wet,17500,"Trafficway, On Road",1/8/19 17:08
6279,501222,1,41.35273,-72.93313,3019678,1/9/19,9:30:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.09,110,CONCORD ST,CONCORD ST,GARDEN ST,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",1/9/19 9:30
8838,502821,1,41.43151,-72.928208,3021277,1/9/19,14:20:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.81,507,STILL HILL RD,STILL HILL RD,,West Todd St,1,TenthsofMile,S,1,Clear,1,Daylight,1,Dry,150,Non-trafficway,1/9/19 14:20
5356,501452,1,41.335221,-72.911474,3019908,1/9/19,14:28:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.17,707,WHITNEY AV,707-N,,East Rock Park Road,1,TenthsofMile,N,2,Cloudy,1,Daylight,1,Dry,11200,"Trafficway, On Road",1/9/19 14:28
3873,502424,1,41.37804,-72.905363,3020880,1/9/19,17:12:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.45,15,15-S,15-S,15-S-122,,,,,1,Clear,4,Dark-Lighted,1,Dry,71500,"Trafficway, On Road",1/9/19 17:12
1125,502823,1,41.344446,-72.93438,3021279,1/10/19,8:15:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.42,10,CT-10,10-N,,Woodin Street,5,Feet,S,1,Clear,1,Daylight,1,Dry,24000,"Trafficway, On Road",1/10/19 8:15
6878,503041,1,41.346159,-72.942726,3021497,1/10/19,11:36:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.2,217,GLENBROOK AV,GLENBROOK AV,,WOODIN ST,213,Feet,N,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",1/10/19 11:36
7375,502822,1,41.353062,-72.918118,3021278,1/10/19,16:56:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.42,352,MATHER ST,MATHER ST,MANOR ST,,,,,1,Clear,1,Daylight,1,Dry,5200,"Trafficway, On Road",1/10/19 16:56
8153,503834,1,41.33593,-72.900626,3022288,1/10/19,17:53:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.04,452,RIDGE RD,RIDGE RD,,FRANKLIN RD,60,Feet,E,1,Clear,5,Dark-Not Lighted,1,Dry,9200,"Trafficway, On Road",1/10/19 17:53
3874,502436,1,41.372502,-72.911584,3020892,1/10/19,18:45:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,50.96,15,15-S,15-S,,Exit 60,9,TenthsofMile,N,1,Clear,5,Dark-Not Lighted,1,Dry,71500,"Trafficway, On Road",1/10/19 18:45
8627,502840,1,41.371229,-72.906751,3021296,1/11/19,6:54:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.03,494,SKIFF ST,SKIFF ST,,WHITNEY AVENUE,100,Feet,W,1,Clear,1,Daylight,1,Dry,24500,"Trafficway, On Road",1/11/19 6:54
2538,503482,1,41.377542,-72.914801,3021936,1/11/19,10:55:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,7.93,10,CT-10,10-N,,SANFORD ST,2,TenthsofMile,S,1,Clear,1,Daylight,1,Dry,11200,"Trafficway, On Road",1/11/19 10:55
6253,505409,1,41.346024,-72.916802,3023863,1/11/19,11:32:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.34,102,CLIFFORD ST,CLIFFORD ST,RALSTON AV,,,,,1,Clear,1,Daylight,1,Dry,1600,"Trafficway, On Road",1/11/19 11:32
4783,503042,1,41.33564,-72.900022,3021498,1/11/19,13:28:00,O,Property Damage Only,O,No Apparent Injury (O),2,USRoute,1.57,5,US-5,5-N,RIDGE RD,,,,N,1,Clear,1,Daylight,1,Dry,10000,"Trafficway, On Road",1/11/19 13:28
1127,505410,1,41.344095,-72.934403,3023864,1/11/19,13:36:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.4,10,CT-10,10-N,,Woodin St,100,Feet,S,1,Clear,1,Daylight,1,Dry,24000,"Trafficway, On Road",1/11/19 13:36
4032,503004,1,41.378204,-72.905319,3021460,1/11/19,14:32:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,51.47,15,15-S,15-S,,Route 15,10,Feet,W,1,Clear,1,Daylight,1,Dry,66400,"Trafficway, On Road",1/11/19 14:32
1126,502842,1,41.344472,-72.934369,3021298,1/11/19,18:19:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.42,10,CT-10,10-N,WOODIN ST,,,,,1,Clear,4,Dark-Lighted,1,Dry,24000,"Trafficway, On Road",1/11/19 18:19
5945,502843,1,41.340196,-72.913341,3021299,1/12/19,8:11:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.02,47,BLAKE RD,BLAKE RD,,WHITNEY AVENUE,100,Feet,W,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",1/12/19 8:11
3875,504813,1,41.378039,-72.905357,3023267,1/12/19,9:05:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.45,15,15-S,15-S,15-S-122,,,,,1,Clear,1,Daylight,1,Dry,71500,"Trafficway, On Road",1/12/19 9:05
5120,507611,1,41.343906,-72.912067,3026064,1/12/19,9:18:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.79,707,WHITNEY AV,707-N,,Augar Street,45,Feet,S,1,Clear,1,Daylight,1,Dry,13500,"Trafficway, On Road",1/12/19 9:18
8911,503483,1,41.353868,-72.929466,3021937,1/12/19,13:42:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,Local,0.01,527,TREADWELL ST,TREADWELL ST,,DIXWELL AVE,62,Feet,E,1,Clear,1,Daylight,1,Dry,5100,"Trafficway, On Road",1/12/19 13:42
8864,502844,1,41.343907,-72.935789,3021300,1/12/19,15:16:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.19,518,THIRD ST,THIRD ST,,Dixwell Ave,328,Feet,W,1,Clear,99,Unknown,1,Dry,,"Trafficway, On Road",1/12/19 15:16
892,505263,1,41.404065,-72.898517,3023717,1/12/19,18:35:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,10.29,10,CT-10,10-N,,Dickerman Street,50,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,25200,"Trafficway, On Road",1/12/19 18:35
1128,507558,1,41.338666,-72.935155,3026011,1/12/19,21:11:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.03,10,CT-10,10-N,,Arch St,150,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,24000,"Trafficway, On Road",1/12/19 21:11
890,502845,1,41.40553,-72.898975,3021301,1/13/19,13:30:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,10.39,10,CT-10,10-N,,WOODRUFF STREET,50,Feet,N,1,Clear,1,Daylight,1,Dry,25200,"Trafficway, On Road",1/13/19 13:30
9065,502371,1,41.400224,-72.935916,3020827,1/13/19,15:37:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),1,Local,0.7,570,WEST SHEPARD AV,WEST SHEPARD AV,,HIGH ROCK RD,500,Feet,W,1,Clear,1,Daylight,1,Dry,750,"Trafficway, Not on Road",1/13/19 15:37
3426,502467,1,41.37882535,-72.90309956,3020923,1/13/19,16:11:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.19,15,15-N,15-N-124,,Exit 62,5,TenthsofMile,S,1,Clear,1,Daylight,1,Dry,9500,"Trafficway, On Road",1/13/19 16:11
1258,507559,1,41.372058,-72.917368,3026012,1/14/19,1:16:00,O,Property Damage Only,O,No Apparent Injury (O),1,State,7.52,10,CT-10,10-N,,Dixwell Avenue,5,Feet,E,1,Clear,4,Dark-Lighted,1,Dry,23600,"Trafficway, Not on Road",1/14/19 1:16
5691,517786,1,41.340525,-72.944893,3036237,1/14/19,2:04:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.26,14,ARCH ST,ARCH ST,,Pine Rock Ave.,0.100000001,TenthsofMile,E,1,Clear,4,Dark-Lighted,5,Ice / Frost,2200,"Trafficway, On Road",1/14/19 2:04
1256,505789,1,41.367226,-72.920642,3024243,1/14/19,10:42:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,7.15,10,CT-10,10-N,,Connolly Pkwy,35,Feet,N,1,Clear,1,Daylight,1,Dry,23600,"Trafficway, On Road",1/14/19 10:42
8152,502846,1,41.335914,-72.900613,3021302,1/14/19,15:45:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,Local,0.04,452,RIDGE RD,RIDGE RD,,FRANKLIN STREET,75,Feet,E,1,Clear,1,Daylight,1,Dry,9200,"Trafficway, On Road",1/14/19 15:45
3349,511351,1,41.380419,-72.901244,3029804,1/14/19,16:56:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.74,15,15-N,15-N,,EXIT 61,100,Feet,N,1,Clear,5,Dark-Not Lighted,1,Dry,63800,"Trafficway, On Road",1/14/19 16:56
